Actor MLP: Sequential(
  (0): Linear(in_features=33, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=8, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=33, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
=== Stage 1: 0.1 m/s ===
[WandB] Iter 0 | reward=-0.00 | loss=0.1545
[WandB] Iter 0 | reward=-0.00 | loss=0.1545
[Plot] saved to logs/test_logging/metrics.png
[WandB] Iter 1 | reward=-0.00 | loss=0.1202
[WandB] Iter 1 | reward=-0.00 | loss=0.1202
[WandB] Iter 2 | reward=-0.00 | loss=0.1023
[WandB] Iter 2 | reward=-0.00 | loss=0.1023
[WandB] Iter 3 | reward=0.00 | loss=0.0728
[WandB] Iter 3 | reward=0.00 | loss=0.0728
[WandB] Iter 4 | reward=0.01 | loss=0.0686
[WandB] Iter 4 | reward=0.01 | loss=0.0686
[WandB] Iter 5 | reward=0.01 | loss=0.0655
[WandB] Iter 5 | reward=0.01 | loss=0.0655
[WandB] Iter 6 | reward=0.01 | loss=0.0599
[WandB] Iter 6 | reward=0.01 | loss=0.0599
[WandB] Iter 7 | reward=0.02 | loss=0.0612
[WandB] Iter 7 | reward=0.02 | loss=0.0612
[WandB] Iter 8 | reward=0.02 | loss=0.0526
[WandB] Iter 8 | reward=0.02 | loss=0.0526
[WandB] Iter 9 | reward=0.02 | loss=0.0508
[WandB] Iter 9 | reward=0.02 | loss=0.0508
[WandB] Iter 10 | reward=0.02 | loss=0.0511
[WandB] Iter 10 | reward=0.02 | loss=0.0511
[WandB] Iter 11 | reward=0.03 | loss=0.0556
[WandB] Iter 11 | reward=0.03 | loss=0.0556
[WandB] Iter 12 | reward=0.03 | loss=0.0530
[WandB] Iter 12 | reward=0.03 | loss=0.0530
[WandB] Iter 13 | reward=0.03 | loss=0.0543
[WandB] Iter 13 | reward=0.03 | loss=0.0543
[WandB] Iter 14 | reward=0.03 | loss=0.0745
[WandB] Iter 14 | reward=0.03 | loss=0.0745
[WandB] Iter 15 | reward=0.04 | loss=0.0569
[WandB] Iter 15 | reward=0.04 | loss=0.0569
[WandB] Iter 16 | reward=0.04 | loss=0.0658
[WandB] Iter 16 | reward=0.04 | loss=0.0658
[WandB] Iter 17 | reward=0.04 | loss=0.0640
[WandB] Iter 17 | reward=0.04 | loss=0.0640
[WandB] Iter 18 | reward=0.04 | loss=0.0685
[WandB] Iter 18 | reward=0.04 | loss=0.0685
[WandB] Iter 19 | reward=0.04 | loss=0.0720
[WandB] Iter 19 | reward=0.04 | loss=0.0720
[CustomRunner] ✅ Saved full checkpoint to logs/test_logging/model_stage1.pt
=== Stage 2: 0.3 m/s ===
[WandB] Iter 19 | reward=0.03 | loss=0.0698
[WandB] Iter 19 | reward=0.03 | loss=0.0698
[CustomRunner] ✅ Saved full checkpoint to logs/test_logging/model_stage2.pt
=== Stage 3: 0.4 m/s ===
[WandB] Iter 19 | reward=0.02 | loss=0.0642
[WandB] Iter 19 | reward=0.02 | loss=0.0642
[CustomRunner] ✅ Saved full checkpoint to logs/test_logging/model_stage3.pt
=== Stage 4: 0.5 m/s ===
[WandB] Iter 19 | reward=0.02 | loss=0.0470
[WandB] Iter 19 | reward=0.02 | loss=0.0470
[WandB] Iter 20 | reward=0.02 | loss=0.0422
[WandB] Iter 20 | reward=0.02 | loss=0.0422
[WandB] Iter 21 | reward=0.02 | loss=0.0320
[WandB] Iter 21 | reward=0.02 | loss=0.0320
[WandB] Iter 22 | reward=0.02 | loss=0.0281
[WandB] Iter 22 | reward=0.02 | loss=0.0281
[WandB] Iter 23 | reward=0.02 | loss=0.0273
[WandB] Iter 23 | reward=0.02 | loss=0.0273
[WandB] Iter 24 | reward=0.02 | loss=0.0266
[WandB] Iter 24 | reward=0.02 | loss=0.0266
[WandB] Iter 25 | reward=0.02 | loss=0.0263
[WandB] Iter 25 | reward=0.02 | loss=0.0263
[WandB] Iter 26 | reward=0.03 | loss=0.0266
[WandB] Iter 26 | reward=0.03 | loss=0.0266
[WandB] Iter 27 | reward=0.03 | loss=0.0272
[WandB] Iter 27 | reward=0.03 | loss=0.0272
[WandB] Iter 28 | reward=0.03 | loss=0.0272
[WandB] Iter 28 | reward=0.03 | loss=0.0272
[WandB] Iter 29 | reward=0.03 | loss=0.0260
[WandB] Iter 29 | reward=0.03 | loss=0.0260
[WandB] Iter 30 | reward=0.03 | loss=0.0276
[WandB] Iter 30 | reward=0.03 | loss=0.0276
[WandB] Iter 31 | reward=0.03 | loss=0.0263
[WandB] Iter 31 | reward=0.03 | loss=0.0263
[WandB] Iter 32 | reward=0.03 | loss=0.0270
[WandB] Iter 32 | reward=0.03 | loss=0.0270
[WandB] Iter 33 | reward=0.04 | loss=0.0270
[WandB] Iter 33 | reward=0.04 | loss=0.0270
[WandB] Iter 34 | reward=0.04 | loss=0.0298
[WandB] Iter 34 | reward=0.04 | loss=0.0298
[WandB] Iter 35 | reward=0.04 | loss=0.0312
[WandB] Iter 35 | reward=0.04 | loss=0.0312
[WandB] Iter 36 | reward=0.04 | loss=0.0343
[WandB] Iter 36 | reward=0.04 | loss=0.0343
[WandB] Iter 37 | reward=0.04 | loss=0.0400
[WandB] Iter 37 | reward=0.04 | loss=0.0400
[WandB] Iter 38 | reward=0.04 | loss=0.0456
[WandB] Iter 38 | reward=0.04 | loss=0.0456
[CustomRunner] ✅ Saved full checkpoint to logs/test_logging/model_final.pt
=== Trained model saved at logs/test_logging/model_final.pt ===
